,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
1596,,sempr aqu ajud,estou tendo que lidar com muitos problemas tecnicos,nao estou conseguindo acessar meu e mail o que devo fazer,bom dia problema eletrico mecanico
1597,,muito obrigado pela sua colaboraçao,tendo lidar muitos problemas tecnicos,nao conseguindo acessar mail devo fazer,bom dia qual e o seu problem eletr ou mecan
1598,,muit obrig pel sua colaboraça,estou tend que lid com muit problem tecnic,nao estou consegu acess meu e mail o que dev faz,bom dia problem eletr mecan
1599,,voce e um parceiro excepcional,tend lid muit problem tecnic,nao consegu acess mail dev faz,boa tarde como resolver um problema em um motor de esteira
1600,,voce parceiro excepcional,estou tend que lid com muit probl tecnic,nao estou consegu ace meu e mail o que dev faz,boa tarde resolver problema motor esteira
1601,,voc e um parceir excepcional,tend lid muit probl tecnic,nao consegu ace mail dev faz,boa tard com resolv um problem em um motor de esteir
1602,,voc parceir excepcional,minha maquina esta apresentando falhas constantes,meu telefone esta desligando sozinho e nao liga novamente como posso solucionar isso,boa tard resolv problem motor esteir
1603,,agradeço por sua participaçao,maquina apresentando falhas constantes,telefone desligando sozinho nao liga novamente posso solucionar,oi estou precisando de ajuda
1604,,agradeço participaçao,minh maquin esta apresent falh constant,meu telefon esta deslig sozinh e nao lig nov com poss solucion isso,oi precisando ajuda
1605,,agradec por sua participaça,maquin apresent falh constant,telefon deslig sozinh nao lig nov poss solucion,oi estou precis de ajud
1606,,agradec participaça,minh maquin apresent falh constant,meu telefon esta deslig sozinh e nao lig nov com po solucion isso,boa noite poderia me orientar
1607,,espero te lo ajudado de alguma forma,prefiro trabalhar com outra empresa por conta dos problemas tecnicos,telefon deslig sozinh nao lig nov po solucion,boa noite poderia orientar
1608,,espero lo ajudado alguma forma,prefiro trabalhar outra empresa conta problemas tecnicos,nao consigo instalar um programa em meu computador,boa noit pod me orient
1609,,esper te lo ajud de algum form,prefiro trabalhar com outra empresa por conta do problemas tecnicos,nao consigo instalar programa computador,boa noit pod orient
1610,,esper lo ajud algum form,prefir trabalh com outr empres por cont dos problem tecnic,nao consig instal um program em meu comput,bom dia voce precisa de ajuda com algum problema
1611,,ate mais meu caro colega,prefir trabalh com outr empres por cont do problem tecnic,nao consig instal program comput,bom dia voce precisa ajuda algum problema
1612,,ate caro colega,prefir trabalh outr empres cont problem tecnic,nao consig instal um progr em meu comput,bom dia voc precis de ajud com algum problem
1613,,ate mais meu car coleg,pref trabalh com outr empres por cont dos probl tecnic,nao consig instal progr comput,bom dia voc precis ajud algum problem
1614,,ate car coleg,pref trabalh com outr empres por cont do probl tecnic,estou tendo problemas para acessar meu e mail,ola voce pode resolver meu problema
1615,,muito obrigado por sua atençao,pref trabalh outr empres cont probl tecnic,tendo problemas acessar mail,ola voce pode resolver problema
1616,,muit obrig por sua atença,minhas maquinas apresentam problemas frequentes,estou tend problem par acess meu e mail,ola voc pod resolv meu problem
1617,,desejo lhe sucesso em tudo o que fizer,maquinas apresentam problemas frequentes,tend problem acess mail,ola voc pod resolv problem
1618,,desejo sucesso tudo fizer,minh maquin apresent problem frequent,tend problem par acess mail,ola em que posso ajudar
1619,,desej lhe sucess em tud o que fiz,maquin apresent problem frequent,estou tend problem par ace meu e mail,ola em que poss ajud
1620,,desej sucess tud fiz,minh maquin apresent probl frequent,estou tend probl par acess meu e mail,ola preciso de sua ajuda
1621,,estou a disposiçao para qualquer necessidade futura,maquin apresent probl frequent,tend problem par ace mail,ola precis de sua ajud
1622,,disposiçao qualquer necessidade futura,estou tendo dificuldades para identificar o que esta causando um problema em uma de minhas maquinas,estou tend probl par ace meu e mail,oi qual e o seu problema
1623,,estou a disposiça par qualqu necess futur,tendo dificuldades identificar causando problema maquinas,tend probl par acess mail,oi qual e o seu problem
1624,,disposiça qualqu necess futur,estou tend dificuldad par identific o que esta caus um problem em uma de minh maquin,tend problem ace mail,boa noite posso te pedir um favor
1625,,ate breve meu amigo leal,tend dificuldad identific caus problem maquin,tend probl acess mail,boa noite posso pedir favor
1626,,ate breve amigo leal,tend dificuldad par identific caus problem minh maquin,tend probl ace mail,boa noit poss te ped um favor
1627,,ate brev meu amig leal,estou tend dificuldad par identific o que esta caus um probl em uma de minh maquin,nao consigo instalar um programa no meu computador o que devo fazer,boa noit poss ped favor
1628,,ate brev amig leal,tend dificuldad par identific caus probl minh maquin,nao consigo instalar programa computador devo fazer,oi como posso ser util para corrigir o seu problema
1629,,obrigado por confiar em nosso serviço,tend dificuldad identific caus probl maquin,nao consig instal um program no meu comput o que dev faz,oi posso util corrigir problema
1630,,obrigado confiar serviço,minha maquina esta apresentando problemas que nao existiam antes,nao consig instal program comput dev faz,oi com poss ser util par corrig o seu problem
1631,,obrig por confi em noss servic,maquina apresentando problemas nao existiam antes,nao consig instal um progr no meu comput o que dev faz,oi poss util corrig problem
1632,,obrig confi servic,minha maquina esta apresentando problemas que nao existiam ante,nao consig instal progr comput dev faz,bom dia qual e o problema que voce esta enfrentando
1633,,tenha uma otima tarde,minh maquin esta apresent problem que nao exist antes,nao estou conseguindo acessar minha conta bancaria online o que esta acontecendo,bom dia problema voce enfrentando
1634,,tenha otima tarde,maquina apresentando problemas nao existiam ante,nao conseguindo acessar conta bancaria online acontecendo,bom dia qual e o problem que voc esta enfrent
1635,,tenh uma otim tard,minh maquin esta apresent problem que nao exist ante,nao estou consegu acess minh cont banc onlin o que esta acontec,bom dia problem voc enfrent
1636,,tenh otim tard,maquin apresent problem nao exist antes,nao consegu acess cont banc onlin acontec,oi poderia me ajudar
1637,,estou feliz por termos conversado,maquin apresent problem nao exist ante,nao consegu acess minh cont banc onlin acontec,oi poderia ajudar
1638,,feliz termos conversado,minh maquin apresent problem nao exist antes,nao estou consegu ace minh cont banc onlin o que esta acontec,oi pod me ajud
1639,,estou feliz por term convers,minh maquin esta apresent probl que nao exist antes,nao consegu ace minh cont banc onlin acontec,oi pod ajud
1640,,feliz term convers,minh maquin apresent problem nao exist ante,nao consegu ace cont banc onlin acontec,ola preciso que me ajude a resolver um problema
1641,,ate logo meu amigo confiavel,minh maquin esta apresent probl que nao exist ante,meu computador esta muito lento como posso melhorar seu desempenho,ola preciso ajude resolver problema
1642,,ate logo amigo confiavel,minh maquin apresent probl nao exist antes,computador lento posso melhorar desempenho,ola precis que me ajud a resolv um problem
1643,,ate log meu amig confiavel,minh maquin apresent probl nao exist ante,meu comput esta muit lent com poss melhor seu desempenh,ola precis ajud resolv problem
1644,,ate log amig confiavel,maquin apresent probl nao exist antes,comput lent poss melhor desempenh,oi ha algo que possa fazer por voce
1645,,muito obrigado por sua confiança continua,maquin apresent probl nao exist ante,comput muit lent poss melhor desempenh,oi ha algo possa fazer voce
1646,,obrigado confiança continua,nao estou contente com o atendimento que recebi,meu comput esta muit lent com po melhor seu desempenh,oi ha algo que poss faz por voc
1647,,muito obrigado por sua confiança continuum,nao contente atendimento recebi,comput muit lent po melhor desempenh,oi ha algo poss faz voc
1648,,muit obrig por sua confianc continu,nao estou content com o atend que receb,comput lent po melhor desempenh,boa tarde o que posso fazer por voce
1649,,obrigado confiança continuum,nao content atend receb,nao estou conseguindo imprimir documentos,boa tarde posso fazer voce
1650,,muit obrig por sua confianc continuum,nao estou vendo melhorias na minha situaçao,nao conseguindo imprimir documentos,boa tard o que poss faz por voc
1651,,obrig confianc continu,nao vendo melhorias situaçao,nao estou consegu imprim document,boa tard poss faz voc
1652,,desejo lhe boa sorte em suas atividades,nao estou vend melhor na minh situaça,nao consegu imprim document,oi o que precisa de ajuda
1653,,desejo boa sorte atividades,nao vend melhor situaça,minha impressora nao esta funcionando o que devo verificar,oi o que precis de ajud
1654,,desej lhe boa sort em suas ativ,nao vend melhor minh situaça,impressora nao funcionando devo verificar,boa noite como posso ajudar
1655,,desej boa sort ativ,nao estou vend melhor na minh situac,minh impressor nao esta funcion o que dev verific,boa noite posso ajudar
1656,,agradeço pela sua paciencia e compreensao,nao vend melhor minh situac,impressor nao funcion dev verific,boa noit com poss ajud
1657,,agradeço paciencia compreensao,nao vend melhor situac,minh impressor nao funcion dev verific,boa noit poss ajud
1658,,agradec pel sua pacienc e compreensa,estou cansado de ter que lidar com esses problemas tecnicos,minha tv nao esta funcionando o que devo verificar,oi qual e o seu nome
1659,,agradec pacienc compreensa,cansado ter lidar problemas tecnicos,tv nao funcionando devo verificar,oi nome
1660,,estou aqui sempre que precisar,estou cansado de ter que lidar com es problemas tecnicos,minh tv nao esta funcion o que dev verific,oi qual e o seu nom
1661,,aqui sempre precisar,estou cans de ter que lid com esses problem tecnic,tv nao funcion dev verific,oi nom
1662,,estou aqu sempr que precis,cansado ter lidar es problemas tecnicos,minh tv nao funcion dev verific,bom dia como posso resolver um problema em um ar condicionado industrial
1663,,aqu sempr precis,estou cans de ter que lid com es problem tecnic,meu computador esta lento e travando como posso resolver isso,bom dia posso resolver problema ar condicionado industrial
1664,,ate a proxima vez meu caro,cans ter lid problem tecnic,computador lento travando posso resolver,bom dia com poss resolv um problem em um ar condicion industrial
1665,,ate proxima vez caro,estou cansado de ter que lidar com e problemas tecnicos,meu comput esta lent e trav com poss resolv isso,bom dia poss resolv problem ar condicion industrial
1666,,ate a proxim vez meu car,estou cans de ter que lid com e problem tecnic,comput lent trav poss resolv,
1667,,ate proxim vez car,cansado ter lidar e problemas tecnicos,meu comput esta lent e trav com po resolv isso,
1668,,ate mais meu amigo,cans ter lid es problem tecnic,comput lent trav po resolv,
1669,,ate amigo,estou can de ter que lid com es problem tecnic,nao estou conseguindo instalar um aplicativo o que devo fazer,
1670,,ate mais meu amig,estou cans de ter que lid com esses probl tecnic,nao conseguindo instalar aplicativo devo fazer,
1671,,ate amig,can ter lid es problem tecnic,nao estou consegu instal um aplic o que dev faz,
1672,,obrigado por escolher nossos serviços,estou can de ter que lid com es probl tecnic,nao consegu instal aplic dev faz,
1673,,obrigado escolher serviços,can ter lid problem tecnic,estou recebendo mensagens de erro ao tentar utilizar um aplicativo o que devo fazer,
1674,,obrig por escolh noss servic,cans ter lid probl tecnic,recebendo mensagens erro tentar utilizar aplicativo devo fazer,
1675,,obrig escolh servic,cans ter lid e problem tecnic,estou receb mensagens de erro ao tent utiliz um aplic o que dev faz,
1676,,tenha um otimo fim de semana,estou can de ter que lid com e problem tecnic,receb mensagens erro tent utiliz aplic dev faz,
1677,,tenha otimo fim semana,estou cans de ter que lid com es probl tecnic,meu notebook esta apresentando tela azul frequentemente,
1678,,tenh um otim fim de seman,estou can de ter que lid com e probl tecnic,notebook apresentando tela azul frequentemente,
1679,,tenh otim fim seman,can ter lid e problem tecnic,meu notebook esta apresent tel azul frequent,
1680,,,cans ter lid es probl tecnic,notebook apresent tel azul frequent,
1681,,,can ter lid probl tecnic,estou com problemas para instalar um programa ha alguma soluçao,
1682,,,a qualidade do produto final nao esta atendendo minhas expectativas,problemas instalar programa ha alguma soluçao,
1683,,,qualidade produto final nao atendendo expectativas,estou com problem par instal um program ha algum soluça,
1684,,,a qualidad do produt final nao esta atend minh expect,problem instal program ha algum soluça,
1685,,,qualidad produt final nao atend expect,problem par instal program ha algum soluça,
1686,,,qualidad produt final nao atend minh expect,estou com probl par instal um progr ha algum soluc,
1687,,,nao fui atendido de maneira adequada,probl par instal progr ha algum soluc,
1688,,,nao atendido maneira adequada,probl instal progr ha algum soluc,
1689,,,nao fui atend de maneir adequ,meu celular esta travando muito o que posso fazer para resolver,
1690,,,nao atend maneir adequ,celular travando posso fazer resolver,
1691,,,nao fui atend de man adequ,meu celul esta trav muit o que poss faz par resolv,
1692,,,nao atend man adequ,celul trav poss faz resolv,
1693,,,nao estou satisfeito com o atendimento tecnico que recebi,celul trav muit poss faz par resolv,
1694,,,nao satisfeito atendimento tecnico recebi,meu celul esta trav muit o que po faz par resolv,
1695,,,nao estou satisfeit com o atend tecnic que receb,celul trav muit po faz par resolv,
1696,,,nao satisfeit atend tecnic receb,celul trav po faz resolv,
1697,,,nao entendi as razoes para a soluçao proposta,qual e a melhor forma de prevenir a ferrugem em equipamentos,
1698,,,nao entendi razoes soluçao proposta,melhor forma prevenir ferrugem equipamentos,
1699,,,nao entendi a razoes para a soluçao proposta,qual e a melhor form de preven a ferrug em equip,
1700,,,nao entend as razo par a soluça propost,melhor form preven ferrug equip,
1701,,,nao entend a razo par a soluça propost,estou tendo problemas em identificar a causa de um curto circuito,
1702,,,nao entend razo soluça propost,tendo problemas identificar causa curto circuito,
1703,,,nao entend razo par soluça propost,estou tend problem em identific a caus de um curt circuit,
1704,,,nao entend as raz par a soluc propost,tend problem identific caus curt circuit,
1705,,,nao entend a raz par a soluc propost,preciso de ajuda para resolver um problema com um robo industrial,
1706,,,nao entend raz par soluc propost,preciso ajuda resolver problema robo industrial,
1707,,,nao entend raz soluc propost,precis de ajud par resolv um problem com um rob industrial,
1708,,,estou preocupado com a manutençao da minha maquina,precis ajud resolv problem rob industrial,
1709,,,preocupado manutençao maquina,minha maquina esta demorando a iniciar o que pode estar causando isso,
1710,,,estou preocup com a manutença da minh maquin,maquina demorando iniciar pode causando,
1711,,,preocup manutença maquin,minh maquin esta demor a inic o que pod estar caus isso,
1712,,,preocup manutença minh maquin,maquin demor inic pod caus,
1713,,,estou preocup com a manutenc da minh maquin,como posso maximizar a eficiencia de minha linha de produçao,
1714,,,preocup manutenc minh maquin,posso maximizar eficiencia linha produçao,
1715,,,preocup manutenc maquin,com poss maximiz a eficienc de minh linh de produça,
1716,,,meu investimento nao esta valendo a pena devido aos problemas tecnicos,poss maximiz eficienc linh produça,
1717,,,investimento nao valendo pena devido problemas tecnicos,estou recebendo mensagens de erro em meu equipamento como posso resolve las,
1718,,,meu invest nao esta val a pen dev aos problem tecnic,recebendo mensagens erro equipamento posso resolve las,
1719,,,invest nao val pen dev problem tecnic,estou recebendo mensagens de erro em meu equipamento como posso resolve la,
1720,,,meu invest nao esta val a pen dev aos probl tecnic,estou receb mensagens de erro em meu equip com poss resolv las,
1721,,,invest nao val pen dev probl tecnic,recebendo mensagens erro equipamento posso resolve la,
1722,,,acho que o equipamento entregue nao atende as especificaçoes solicitadas,estou receb mensagens de erro em meu equip com poss resolv la,
1723,,,acho equipamento entregue nao atende especificaçoes solicitadas,receb mensagens erro equip poss resolv las,
1724,,,acho que o equipamento entregue nao atende a especificaçoes solicitadas,preciso substituir uma peça da minha maquina como faço para encontrar e comprar,
1725,,,acho que o equip entreg nao atend as especificaço solicit,preciso substituir peça maquina faço encontrar comprar,
1726,,,acho que o equip entreg nao atend a especificaço solicit,precis substitu uma pec da minh maquin com fac par encontr e compr,
1727,,,acho equip entreg nao atend especificaço solicit,precis substitu pec maquin fac encontr compr,
1728,,,acho que o equip entreg nao atend as especificac solicit,minha maquina esta precisando de calibraçao como faço para realizar,
1729,,,acho que o equip entreg nao atend a especificac solicit,maquina precisando calibraçao faço realizar,
1730,,,acho equip entreg nao atend especificac solicit,minh maquin esta precis de calibraça com fac par realiz,
1731,,,minha maquina esta produzindo produtos com defeito,maquin precis calibraça fac realiz,
1732,,,maquina produzindo produtos defeito,minha maquina esta vibrando muito o que devo fazer,
1733,,,minh maquin esta produz produt com defeit,maquina vibrando devo fazer,
1734,,,maquin produz produt defeit,minh maquin esta vibr muit o que dev faz,
1735,,,minh maquin produz produt defeit,maquin vibr dev faz,
1736,,,estou desapontado com a maneira como meu problema foi tratado,como posso evitar o desgaste excessivo de meus equipamentos,
1737,,,desapontado maneira problema tratado,posso evitar desgaste excessivo equipamentos,
1738,,,estou desapont com a maneir com meu problem foi trat,com poss evit o desg excess de meus equip,
1739,,,desapont maneir problem trat,poss evit desg excess equip,
1740,,,estou desapont com a man com meu probl foi trat,como resolver problemas no sistema de freios,
1741,,,desapont man probl trat,resolver problemas sistema freios,
1742,,,minha empresa precisa de soluçoes adicionais para melhorar a segurança de nossos colaboradores,com resolv problem no sistem de frei,
1743,,,empresa precisa soluçoes adicionais melhorar segurança colaboradores,resolv problem sistem frei,
1744,,,minh empres precis de soluço adicion par melhor a segur de noss colabor,minha maquina esta fazendo um barulho estranho como posso resolver,
1745,,,empres precis soluço adicion melhor segur colabor,maquina fazendo barulho estranho posso resolver,
1746,,,minh empres precis soluço adicion par melhor segur noss colabor,minh maquin esta faz um barulh estranh com poss resolv,
1747,,,minh empres precis de soluço adicion par melhor a segur de no colabor,maquin faz barulh estranh poss resolv,
1748,,,minh empres prec de soluc adicion par melhor a segur de noss colabor,minha maquina esta falhando na entrega do produto final como posso solucionar,
1749,,,minh empres precis soluço adicion par melhor segur colabor,maquina falhando entrega produto final posso solucionar,
1750,,,minh empres prec de soluc adicion par melhor a segur de no colabor,minh maquin esta falh na entreg do produt final com poss solucion,
1751,,,minh empres precis soluço adicion par melhor segur no colabor,maquin falh entreg produt final poss solucion,
1752,,,minh empres prec soluc adicion par melhor segur noss colabor,nao sei como resolver um problema com um sistema pneumatico,
1753,,,empres prec soluc adicion melhor segur colabor,nao sei resolver problema sistema pneumatico,
1754,,,nao estou satisfeito com a resposta que obtive sobre o meu problema,nao sei com resolv um problem com um sistem pneumat,
1755,,,nao satisfeito resposta obtive sobre problema,nao sei resolv problem sistem pneumat,
1756,,,nao estou satisfeit com a respost que obtiv sobr o meu problem,tenho uma duvida sobre o funcionamento do meu equipamento como posso esclarece la,
1757,,,nao satisfeit respost obtiv sobr problem,duvida sobre funcionamento equipamento posso esclarece la,
1758,,,nao estou satisfeit com a respost que obtiv sobr o meu probl,tenh uma duv sobr o funcion do meu equip com poss esclarec la,
1759,,,nao satisfeit respost obtiv sobr probl,duv sobr funcion equip poss esclarec la,
1760,,,estou decepcionado com a soluçao proposta,tenho um problema em uma maquina especifica como posso encontrar a causa raiz,
1761,,,decepcionado soluçao proposta,problema maquina especifica posso encontrar causa raiz,
1762,,,estou decepcion com a soluça propost,tenh um problem em uma maquin especif com poss encontr a caus raiz,
1763,,,decepcion soluça propost,problem maquin especif poss encontr caus raiz,
1764,,,estou decepcion com a soluc propost,preciso solucionar problemas com o sistema de arrefecimento da minha fabrica por onde começar,
1765,,,decepcion soluc propost,preciso solucionar problemas sistema arrefecimento fabrica onde começar,
1766,,,nao estou conseguindo acessar as configuraçoes do meu equipamento,precis solucion problem com o sistem de arrefec da minh fabric por onde comec,
1767,,,nao conseguindo acessar configuraçoes equipamento,precis solucion problem sistem arrefec fabric onde comec,
1768,,,nao estou conseguindo acessar a configuraçoes do meu equipamento,preciso fazer manutençao preventiva na minha maquina como devo proceder,
1769,,,nao estou consegu acess as configuraço do meu equip,preciso fazer manutençao preventiva maquina devo proceder,
1770,,,nao estou consegu acess a configuraço do meu equip,precis faz manutença prevent na minh maquin com dev proced,
1771,,,nao consegu acess configuraço equip,precis faz manutença prevent maquin dev proced,
1772,,,nao estou consegu ace a configuraço do meu equip,minha maquina deu pane e nao esta ligando como posso solucionar,
1773,,,nao estou consegu acess as configurac do meu equip,maquina deu pane nao ligando posso solucionar,
1774,,,nao consegu ace configuraço equip,minh maquin deu pan e nao esta lig com poss solucion,
1775,,,nao estou consegu ace a configurac do meu equip,maquin deu pan nao lig poss solucion,
1776,,,nao consegu acess configurac equip,como identificar e corrigir problemas de transmissao do equipamento,
1777,,,nao estou consegu acess a configurac do meu equip,identificar corrigir problemas transmissao equipamento,
1778,,,nao consegu ace configurac equip,com identific e corrig problem de transmissa do equip,
1779,,,minha empresa esta sofrendo prejuizos por conta de falhas em produtos,identific corrig problem transmissa equip,
1780,,,empresa sofrendo prejuizos conta falhas produtos,como posso resolver uma falha na minha linha de produçao que esta causando desperdicio de material,
1781,,,minh empres esta sofr prejuiz por cont de falh em produt,posso resolver falha linha produçao causando desperdicio material,
1782,,,empres sofr prejuiz cont falh produt,com poss resolv uma falh na minh linh de produça que esta caus desperdici de material,
1783,,,minh empres sofr prejuiz cont falh produt,poss resolv falh linh produça caus desperdici material,
1784,,,minha maquina esta apresentando barulhos estranhos,minha produçao esta parada por causa de um problema na maquina como posso solucionar rapidamente,
1785,,,maquina apresentando barulhos estranhos,produçao parada causa problema maquina posso solucionar rapidamente,
1786,,,minh maquin esta apresent barulh estranh,minh produça esta par por caus de um problem na maquin com poss solucion rapid,
1787,,,maquin apresent barulh estranh,produça par caus problem maquin poss solucion rapid,
1788,,,minh maquin apresent barulh estranh,qual e o melhor momento para realizar a manutençao preventiva em meu maquinario,
1789,,,problemas eletricos impactando minha produçao,melhor momento realizar manutençao preventiva maquinario,
1790,,,problemas eletricos impactando produçao,qual e o melhor moment par realiz a manutença prevent em meu maquinari,
1791,,,problem eletr impact minh produça,melhor moment realiz manutença prevent maquinari,
1792,,,problem eletr impact produça,estou com dificuldades para identificar o tipo de problema que a minha maquina esta apresentando o que fazer,
1793,,,probl eletr impact minh produc,dificuldades identificar tipo problema maquina apresentando fazer,
1794,,,probl eletr impact produc,estou com dificuldad par identific o tip de problem que a minh maquin esta apresent o que faz,
1795,,,estou irritado com a pouca eficiencia do sistema de suporte tecnico,dificuldad identific tip problem maquin apresent faz,
1796,,,irritado pouca eficiencia sistema suporte tecnico,minha maquina esta com um vazamento como devo proceder,
1797,,,estou irrit com a pouc eficienc do sistem de suport tecnic,maquina vazamento devo proceder,
1798,,,irrit pouc eficienc sistem suport tecnic,minh maquin esta com um vazament com dev proced,
1799,,,estou irrit com a pouc eficienc do sist de suport tecnic,maquin vazament dev proced,
1800,,,irrit pouc eficienc sist suport tecnic,a maquina parou de funcionar inesperadamente o que posso fazer para resolve la,
1801,,,nao vejo transparencia na forma como as coisas estao sendo resolvidas,maquina parou funcionar inesperadamente posso fazer resolve la,
1802,,,nao vejo transparencia forma coisas estao sendo resolvidas,a maquin par de funcion inesper o que poss faz par resolv la,
1803,,,nao vejo transparencia na forma como a coisas estao sendo resolvidas,maquin par funcion inesper poss faz resolv la,
1804,,,nao vej transparenc na form com as cois esta send resolv,preciso identificar a causa de um ruido estranho que esta vindo da minha maquina o que pode ser,
1805,,,nao vej transparenc na form com a cois esta send resolv,preciso identificar causa ruido estranho vindo maquina pode,
1806,,,nao vej transparenc form cois esta send resolv,precis identific a caus de um ruid estranh que esta vind da minh maquin o que pod ser,
1807,,,nao vej transparenc form cois send resolv,precis identific caus ruid estranh vind maquin pod,
1808,,,minha produçao esta parada por causa de problemas na maquina,preciso realizar a manutençao corretiva da minha maquina o que fazer,
1809,,,produçao parada causa problemas maquina,preciso realizar manutençao corretiva maquina fazer,
1810,,,minh produça esta par por caus de problem na maquin,precis realiz a manutença corret da minh maquin o que faz,
1811,,,produça par caus problem maquin,precis realiz manutença corret maquin faz,
1812,,,minh produça par caus problem maquin,qual a melhor forma de solucionar problemas com sensores em minha maquina,
1813,,,minh produc esta par por caus de probl na maquin,melhor forma solucionar problemas sensores maquina,
1814,,,minh produc par caus probl maquin,qual a melhor form de solucion problem com sensor em minh maquin,
1815,,,produc par caus probl maquin,melhor form solucion problem sensor maquin,
1816,,,nao estou satisfeito com o funcionamento da minha maquina,o que fazer para corrigir problemas com o sistema hidraulico da minha fabrica,
1817,,,nao satisfeito funcionamento maquina,fazer corrigir problemas sistema hidraulico fabrica,
1818,,,nao estou satisfeit com o funcion da minh maquin,o que faz par corrig problem com o sistem hidraul da minh fabric,
1819,,,nao satisfeit funcion maquin,faz corrig problem sistem hidraul fabric,
1820,,,nao satisfeit funcion minh maquin,quando devo trocar as peças do equipamento,
1821,,,minha produçao esta ficando aquem do esperado,devo trocar peças equipamento,
1822,,,produçao ficando aquem esperado,quando devo trocar a peças do equipamento,
1823,,,minh produça esta fic aqu do esper,quand dev troc as pec do equip,
1824,,,produça fic aqu esper,quand dev troc a pec do equip,
1825,,,minh produça fic aqu esper,dev troc pec equip,
1826,,,minh produc esta fic aqu do esper,minha maquina esta esquentando demais na parte externa como posso resolver,
1827,,,minh produc fic aqu esper,maquina esquentando demais parte externa posso resolver,
1828,,,produc fic aqu esper,minh maquin esta esquent dem na part extern com poss resolv,
1829,,,estou descontente com o prazo de entrega do produto,maquin esquent dem part extern poss resolv,
1830,,,descontente prazo entrega produto,o que fazer para solucionar problemas com o sistema de iluminaçao de minha fabrica,
1831,,,estou descontent com o praz de entreg do produt,fazer solucionar problemas sistema iluminaçao fabrica,
1832,,,descontent praz entreg produt,o que faz par solucion problem com o sistem de iluminaça de minh fabric,
1833,,,estou insatisfeito,faz solucion problem sistem iluminaça fabric,
1834,,,estou insatisfeit,minha maquina esta emitindo sons estranhos o que eu devo fazer,
1835,,,nao estou contente,maquina emitindo sons estranhos devo fazer,
1836,,,nao contente,minha maquina esta emitindo son estranhos o que eu devo fazer,
1837,,,nao estou content,minh maquin esta emit sons estranh o que eu dev faz,
1838,,,nao content,maquina emitindo son estranhos devo fazer,
1839,,,estou muito chateado,minh maquin esta emit son estranh o que eu dev faz,
1840,,,estou muit chat,maquin emit sons estranh dev faz,
1841,,,estou bastante frustrado,preciso de ajuda para solucionar um problema com uma esteira transportadora,
1842,,,bastante frustrado,preciso ajuda solucionar problema esteira transportadora,
1843,,,estou bastant frustr,precis de ajud par solucion um problem com uma esteir transport,
1844,,,bastant frustr,precis ajud solucion problem esteir transport,
1845,,,nao estou feliz com o serviço,a maquina esta fazendo muito barulho o que pode ser,
1846,,,nao feliz serviço,maquina fazendo barulho pode,
1847,,,nao estou feliz com o servic,a maquin esta faz muit barulh o que pod ser,
1848,,,nao feliz servic,maquin faz barulh pod,
1849,,,estou bastante insatisfeito,estou com dificuldades na leitura do manual tecnico da minha maquina como posso entender melhor,
1850,,,bastante insatisfeito,dificuldades leitura manual tecnico maquina posso entender melhor,
1851,,,estou bastant insatisfeit,estou com dificuldad na leitur do manual tecnic da minh maquin com poss entend melhor,
1852,,,bastant insatisfeit,dificuldad leitur manual tecnic maquin poss entend melhor,
1853,,,estou descontente com o atendimento,estou com dificuldades para instalar ou atualizar o software da minha maquina o que fazer,
1854,,,descontente atendimento,dificuldades instalar atualizar software maquina fazer,
1855,,,estou descontent com o atend,estou com dificuldad par instal ou atualiz o softwar da minh maquin o que faz,
1856,,,descontent atend,dificuldad instal atualiz softwar maquin faz,
1857,,,nao estou nada satisfeito,tenho um vazamento de oleo o que devo fazer,
1858,,,nao nada satisfeito,vazamento oleo devo fazer,
1859,,,nao estou nad satisfeit,tenh um vazament de ole o que dev faz,
1860,,,nao nad satisfeit,vazament ole dev faz,
1861,,,estou realmente insatisfeito,qual e a melhor forma de trocar o oleo do equipamento,
1862,,,realmente insatisfeito,melhor forma trocar oleo equipamento,
1863,,,estou realment insatisfeit,qual e a melhor form de troc o ole do equip,
1864,,,realment insatisfeit,melhor form troc ole equip,
1865,,,nao estou nada contente,estou com problemas no sistema de segurança de minha fabrica como posso solucionar,
1866,,,nao nada contente,problemas sistema segurança fabrica posso solucionar,
1867,,,nao estou nad content,estou com problem no sistem de segur de minh fabric com poss solucion,
1868,,,nao nad content,problem sistem segur fabric poss solucion,
1869,,,estou muito decepcionado,estou tendo dificuldades em identificar uma falha no processo produtivo,
1870,,,estou muit decepcion,tendo dificuldades identificar falha processo produtivo,
1871,,,estou extremamente chateado,estou tend dificuldad em identific uma falh no process produt,
1872,,,extremamente chateado,tend dificuldad identific falh process produt,
1873,,,estou extrem chat,meu equipamento esta apresentando uma queda constante de desempenho como solucionar,
1874,,,extrem chat,equipamento apresentando queda constante desempenho solucionar,
1875,,,nao estou nada satisfeito com o suporte,meu equip esta apresent uma qued constant de desempenh com solucion,
1876,,,nao nada satisfeito suporte,equip apresent qued constant desempenh solucion,
1877,,,nao estou nad satisfeit com o suport,minha maquina esta emitindo ruidos altos como posso diminuir o barulho,
1878,,,nao nad satisfeit suport,maquina emitindo ruidos altos posso diminuir barulho,
1879,,,estou profundamente insatisfeito,minha maquina esta emitindo ruidos alto como posso diminuir o barulho,
